tree_id,site,status,health,root_stone,latitude,longitude
54395,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
181191,Side,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
59318,Nearby,Alive,Good,No,>40.76000,-74.07000...-73.89000
421530,Front,Alive,Good,Yes,40.63000...40.76000,>-73.89000
645078,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
693195,Front,Alive,Good,No,>40.76000,>-73.89000
700632,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
446786,Side,Alive,Good,Yes,>40.76000,-74.07000...-73.89000
604234,Nearby,Alive,Good,No,40.63000...40.76000,>-73.89000
275844,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
424125,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
336397,Front,Alive,Fair,No,<40.63000,-74.07000...-73.89000
40383,Side,Alive,Good,No,40.63000...40.76000,>-73.89000
229031,Front,Alive,Fair,Yes,40.63000...40.76000,>-73.89000
320743,Nearby,Alive,Good,No,>40.76000,>-73.89000
388561,Front,Alive,Good,No,<40.63000,-74.07000...-73.89000
214448,Front,Alive,Good,No,>40.76000,>-73.89000
486381,Front,Alive,Good,No,>40.76000,>-73.89000
109118,Front,Alive,Fair,No,40.63000...40.76000,-74.07000...-73.89000
16245,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
320561,Front,Alive,Good,No,>40.76000,>-73.89000
189031,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
317777,Nearby,Alive,Good,No,40.63000...40.76000,>-73.89000
521970,Side,Alive,Good,No,>40.76000,-74.07000...-73.89000
417933,Front,Alive,Fair,No,40.63000...40.76000,-74.07000...-73.89000
443869,Front,Alive,Good,No,<40.63000,<-74.07000
81479,Front,Alive,Good,Yes,<40.63000,<-74.07000
396960,Front,Alive,Good,Yes,>40.76000,-74.07000...-73.89000
189968,Side,Alive,Good,No,>40.76000,-74.07000...-73.89000
354326,Front,Alive,Good,No,>40.76000,>-73.89000
653891,Side,Alive,Fair,Yes,40.63000...40.76000,-74.07000...-73.89000
464564,Front,Alive,Good,No,>40.76000,>-73.89000
117640,Side,Alive,Good,No,>40.76000,-74.07000...-73.89000
541745,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
624056,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
416667,Front,Alive,Fair,No,40.63000...40.76000,-74.07000...-73.89000
345158,Side,Alive,Good,Yes,>40.76000,-74.07000...-73.89000
237941,Side,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
103244,Nearby,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
116260,Side,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
345499,Nearby,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
710279,Nearby,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
422872,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
211746,Front,Alive,Fair,No,>40.76000,-74.07000...-73.89000
503957,Front,Alive,Good,No,<40.63000,<-74.07000
269505,Front,Alive,Good,No,>40.76000,>-73.89000
237867,Nearby,Alive,Good,No,40.63000...40.76000,>-73.89000
423251,Front,Alive,Fair,No,40.63000...40.76000,>-73.89000
472672,Nearby,Alive,Good,No,>40.76000,-74.07000...-73.89000
310380,Nearby,Alive,Good,No,<40.63000,-74.07000...-73.89000
561913,Front,Alive,Good,No,>40.76000,>-73.89000
558208,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
349623,Nearby,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
385997,Front,Alive,Good,No,<40.63000,<-74.07000
170948,Nearby,Alive,Good,Yes,40.63000...40.76000,>-73.89000
475015,Nearby,Alive,Good,No,>40.76000,>-73.89000
