Cluster,Centroid Long,Centroid Lat
Cluster 1,59.074766355140184,60.8494623655914
Cluster 2,49.598130841121495,50.623655913978496
Cluster 1,58.81896551724138,61.202127659574465
Cluster 2,49.53448275862069,50.61702127659574
Cluster 1,58.81896551724138,61.202127659574465
Cluster 2,49.53448275862069,50.61702127659574
