site,status,health,root_stone,latitude,longitude,,
Front,Alive,Good,No,40.78215968,-73.81896921,,40.70238651
Front,Alive,Fair,No,40.68262039,-73.94220978,,40.702582
Front,Alive,Good,No,40.7572492,-73.96023158,,-73.9233632
Front,Alive,Good,No,40.78034364,-73.84413796,,
Front,Alive,Good,No,40.67168127,-73.97436769,,0.090772039
Across,Alive,Good,No,40.71788352,-73.73758466,,0.127078273
Side,Alive,Good,No,40.76450921,-73.99842021,,
Front,Alive,Fair,No,40.72439407,-73.97391269,,
Front,Alive,Good,No,40.57947871,-74.08540396,,
Front,Alive,Good,Yes,40.62190047,-74.13485429,,
Front,Alive,Good,Yes,40.82060392,-73.90790897,,
Side,Alive,Good,No,40.78686404,-73.97112083,,
Front,Alive,Good,No,40.82715433,-73.82517969,,
Side,Alive,Fair,Yes,40.69794681,-73.92538227,,
Front,Alive,Good,No,40.88388185,-73.86248822,,
Side,Alive,Good,No,40.79973209,-73.95508018,,
Front,Alive,Good,No,40.67486744,-73.80574072,,
Front,Alive,Good,No,40.71035798,-73.76512103,,
Front,Alive,Fair,No,40.70921389,-74.00521259,,
Side,Alive,Good,Yes,40.77682853,-73.90643125,,
Side,Alive,Good,No,40.67796544,-74.01720666,,
Across,Alive,Good,Yes,40.72647379,-73.9833363,,
Side,Alive,Good,Yes,40.70612795,-73.89823405,,
Across,Alive,Good,Yes,40.69088598,-73.94534544,,
Adjacent,Alive,Good,No,40.67657888,-73.90899658,,
Front,Alive,Good,No,40.68341716,-73.88454053,,
Front,Alive,Fair,No,40.83939878,-73.94173134,,
Front,Alive,Good,No,40.55182835,-74.17260081,,
Front,Alive,Good,No,40.76204969,-73.87912938,,
Adjacent,Alive,Good,No,40.66208775,-73.751708,,
Front,Alive,Fair,No,40.75577515,-73.80655899,,
Adjacent,Alive,Good,No,40.85358851,-73.90511161,,
Adjacent,Alive,Good,No,40.61907038,-73.95080936,,
Front,Alive,Good,No,40.79198907,-73.81233252,,
Front,Alive,Good,No,40.67574595,-73.79560616,,
Median,Alive,Good,No,40.67833388,-73.97470326,,
Front,Alive,Good,No,40.52093287,-74.23593,,
Across,Alive,Good,Yes,40.72329749,-73.83726333,,
Across,Alive,Good,No,40.8649691,-73.88857573,,
Front,Alive,Good,Yes,40.66083134,-73.98140004,,
Across,Alive,Good,No,40.87121503,-73.82949042,,
Front,Alive,Good,No,40.68619527,-73.72918057,,
Front,Alive,Good,No,40.68530409,-73.78600245,,
Side,Alive,Good,No,40.60103327,-73.95581118,,
Front,Alive,Good,Yes,40.81539711,-73.89142357,,
Front,Alive,Good,Yes,40.60680111,-74.15932246,,
